datetime,Sequence,frequency11,humidity1,state1,temperature1,timestamp
43:16.1,196.00,5226.19,0,1,0,1.6564E+12
43:17.1,197.00,5244.94,0,1,0,1.6564E+12
43:18.1,198.00,5219.97,0,1,0,1.6564E+12
43:19.1,199.00,5251.22,0,1,0,1.6564E+12
43:20.1,200.00,5232.97,0,1,0,1.6564E+12
43:21.1,201.00,5220.3,0,1,0,1.6564E+12
43:22.1,202.00,5226.52,0,1,0,1.6564E+12
43:23.1,203.00,5219.97,0,1,0,1.6564E+12
43:24.1,204.00,5219.97,0,1,0,1.6564E+12
43:25.7,205.00,5229.36,0,1,0,1.6564E+12
43:26.7,206.00,5219.97,0,1,0,1.6564E+12
43:27.7,207.00,5219.97,0,1,0,1.6564E+12
43:28.7,208.00,5226.52,0,1,0,1.6564E+12
43:29.7,209.00,5220.3,0,1,0,1.6564E+12
43:30.7,210.00,5226.52,0,1,0,1.6564E+12
43:31.7,211.00,5226.52,0,1,0,1.6564E+12
43:32.7,212.00,5219.97,0,1,0,1.6564E+12
43:33.7,213.00,5219.97,0,1,0,1.6564E+12
43:34.7,214.00,5202.05,0,1,0,1.6564E+12
43:35.7,215.00,5191.35,0,1,0,1.6564E+12
43:36.7,216.00,5195.56,0,1,0,1.6564E+12
43:37.7,217.00,5301.33,0,2,0,1.6564E+12
43:38.7,218.00,5244.94,0,2,0,1.6564E+12
43:39.7,219.00,5269.81,0,2,0,1.6564E+12
43:40.7,220.00,5315.76,0,2,0,1.6564E+12
43:41.8,221.00,5398.87,0,2,0,1.6564E+12
43:42.8,222.00,5506.61,0,2,0,1.6564E+12
43:43.8,223.00,5513.9,0,2,0,1.6564E+12
43:44.8,224.00,5541.39,0,3,0,1.6564E+12
43:45.8,225.00,5544.59,0,3,0,1.6564E+12
43:46.8,226.00,5541.39,0,3,0,1.6564E+12
43:47.8,227.00,5562.11,0,3,0,1.6564E+12
43:48.8,228.00,5562.11,0,3,0,1.6564E+12
43:49.8,229.00,5541.39,0,3,0,1.6564E+12
43:50.8,230.00,5569.54,0,3,0,1.6564E+12
43:51.8,231.00,5562.11,0,3,0,1.6564E+12
43:52.8,232.00,5597.6,0,3,0,1.6564E+12
43:53.8,233.00,5590.46,0,3,0,1.6564E+12
43:54.8,234.00,5590.09,0,3,0,1.6564E+12
43:55.8,235.00,5585.22,0,3,0,1.6564E+12
43:56.8,236.00,5590.09,0,3,0,1.6564E+12
43:57.8,237.00,5618.74,0,3,0,1.6564E+12
43:58.8,238.00,5597.6,0,3,0,1.6564E+12
43:59.8,239.00,5618.74,0,3,0,1.6564E+12
44:00.8,240.00,5625.94,0,3,0,1.6564E+12
44:01.8,241.00,5625.94,0,3,0,1.6564E+12
44:02.8,242.00,5647.29,0,3,0,1.6564E+12
44:03.8,243.00,5647.29,0,3,0,1.6564E+12
44:04.8,244.00,5654.96,0,3,0,1.6564E+12
44:05.8,245.00,5642.32,0,3,0,1.6564E+12
44:06.8,246.00,5647.29,0,3,0,1.6564E+12
44:07.8,247.00,5626.32,0,3,0,1.6564E+12
44:08.8,248.00,5647.68,0,3,0,1.6564E+12
44:09.8,249.00,5647.29,0,3,0,1.6564E+12
44:10.8,250.00,5654.96,0,3,0,1.6564E+12
44:11.8,251.00,5647.29,0,3,0,1.6564E+12
44:12.8,252.00,5647.29,0,3,0,1.6564E+12
44:13.8,253.00,5684.27,0,3,0,1.6564E+12
44:14.8,254.00,5676.53,0,3,0,1.6564E+12
44:15.8,255.00,5671.51,0,3,0,1.6564E+12
44:16.8,256.00,5687.76,0,3,0,1.6564E+12
44:17.8,257.00,5705.68,0,3,0,1.6564E+12
44:18.8,258.00,5676.53,0,3,0,1.6564E+12
44:19.8,259.00,5713.5,0,3,0,1.6564E+12
44:20.8,260.00,5706.07,0,3,0,1.6564E+12
44:21.8,261.00,5706.07,0,3,0,1.6564E+12
44:22.8,262.00,5713.5,0,3,0,1.6564E+12
44:23.8,263.00,5735.52,0,3,0,1.6564E+12
44:24.8,264.00,5713.11,0,3,0,1.6564E+12
44:25.8,265.00,5730,0,3,0,1.6564E+12
44:26.8,266.00,5735.52,0,3,0,1.6564E+12
44:27.9,267.00,5705.68,0,3,0,1.6564E+12
44:28.9,268.00,5743.43,0,3,0,1.6564E+12
44:29.9,269.00,5743.43,0,3,0,1.6564E+12
44:30.9,270.00,5735.52,0,3,0,1.6564E+12
44:31.9,271.00,5743.03,0,3,0,1.6564E+12
44:32.9,272.00,5735.52,0,3,0,1.6564E+12
44:33.9,273.00,5765.28,0,3,0,1.6564E+12
44:34.9,274.00,5743.03,0,3,0,1.6564E+12
44:35.9,275.00,5760.1,0,3,0,1.6564E+12
44:36.9,276.00,5735.52,0,3,0,1.6564E+12
44:37.9,277.00,5743.03,0,3,0,1.6564E+12
44:38.9,278.00,5735.52,0,3,0,1.6564E+12
44:39.9,279.00,5773.27,0,3,0,1.6564E+12
44:40.9,280.00,5743.03,0,3,0,1.6564E+12
44:41.9,281.00,5765.28,0,3,0,1.6564E+12
44:42.9,282.00,5765.28,0,3,0,1.6564E+12
44:43.9,283.00,5743.03,0,3,0,1.6564E+12
44:44.9,284.00,5743.03,0,3,0,1.6564E+12
44:45.9,285.00,5760.1,0,3,0,1.6564E+12
44:46.9,286.00,5743.03,0,3,0,1.6564E+12
44:47.9,287.00,5765.68,0,3,0,1.6564E+12
44:48.9,288.00,5765.28,0,3,0,1.6564E+12
44:49.9,289.00,5743.03,0,3,0,1.6564E+12
44:50.9,290.00,5765.28,0,3,0,1.6564E+12
44:51.9,291.00,5735.52,0,3,0,1.6564E+12
44:52.9,292.00,5773.27,0,3,0,1.6564E+12
44:53.9,293.00,5765.28,0,3,0,1.6564E+12
44:54.9,294.00,5743.03,0,3,0,1.6564E+12
44:55.9,295.00,5760.1,0,3,0,1.6564E+12
44:56.9,296.00,5765.28,0,3,0,1.6564E+12
44:57.9,297.00,5735.52,0,3,0,1.6564E+12
44:58.9,298.00,5743.03,0,3,0,1.6564E+12
44:59.9,299.00,5773.27,0,3,0,1.6564E+12
45:00.9,300.00,5765.28,0,3,0,1.6564E+12
45:01.9,301.00,5773.27,0,3,0,1.6564E+12
45:02.9,302.00,5765.68,0,3,0,1.6564E+12
45:03.9,303.00,5795.76,0,3,0,1.6564E+12
45:04.9,304.00,5773.27,0,3,0,1.6564E+12
45:05.9,305.00,5760.1,0,3,0,1.6564E+12
45:06.9,306.00,5795.76,0,3,0,1.6564E+12
45:07.9,307.00,5773.27,0,3,0,1.6564E+12
45:08.9,308.00,5765.28,0,3,0,1.6564E+12
45:09.9,309.00,5773.27,0,3,0,1.6564E+12
45:10.9,310.00,5773.27,0,3,0,1.6564E+12
45:11.9,311.00,5795.76,0,3,0,1.6564E+12
45:12.9,312.00,5795.76,0,3,0,1.6564E+12
45:13.9,313.00,5803.83,0,3,0,1.6564E+12
45:14.9,314.00,5803.83,0,3,0,1.6564E+12
45:15.9,315.00,5790.52,0,3,0,1.6564E+12
45:16.9,316.00,5773.27,0,3,0,1.6564E+12
45:17.9,317.00,5795.76,0,3,0,1.6564E+12
45:19.0,318.00,5795.76,0,3,0,1.6564E+12
45:20.0,319.00,5803.43,0,3,0,1.6564E+12
45:21.0,320.00,5826.56,0,3,0,1.6564E+12
45:22.0,321.00,5826.15,0,3,0,1.6564E+12
45:23.0,322.00,5834.31,0,3,0,1.6564E+12
45:24.0,323.00,5826.15,0,3,0,1.6564E+12
45:25.0,324.00,5834.31,0,3,0,1.6564E+12
45:26.0,325.00,5822.08,0,3,0,1.6564E+12
45:27.0,326.00,5826.15,0,3,0,1.6564E+12
45:28.0,327.00,5857.27,0,3,0,1.6564E+12
45:29.0,328.00,5865.1,0,3,0,1.6564E+12
45:30.0,329.00,5834.31,0,3,0,1.6564E+12
45:31.0,330.00,5856.86,0,3,0,1.6564E+12
45:32.0,331.00,5865.1,0,3,0,1.6564E+12
45:33.0,332.00,5857.27,0,3,0,1.6564E+12
45:34.0,333.00,5857.27,0,3,0,1.6564E+12
45:35.0,334.00,5865.1,0,3,0,1.6564E+12
45:36.0,335.00,5851.92,0,3,0,1.6564E+12
45:37.0,336.00,5856.86,0,3,0,1.6564E+12
45:38.0,337.00,5865.52,0,3,0,1.6564E+12
45:39.0,338.00,5857.27,0,3,0,1.6564E+12
45:40.0,339.00,5865.52,0,3,0,1.6564E+12
45:41.0,340.00,5865.52,0,3,0,1.6564E+12
45:42.0,341.00,5857.27,0,3,0,1.6564E+12
45:43.0,342.00,5857.27,0,3,0,1.6564E+12
45:44.0,343.00,5865.1,0,3,0,1.6564E+12
45:45.0,344.00,5865.1,0,3,0,1.6564E+12
45:46.0,345.00,5882.91,0,3,0,1.6564E+12
45:47.0,346.00,5865.1,0,3,0,1.6564E+12
45:48.0,347.00,5888.31,0,3,0,1.6564E+12
45:49.0,348.00,5857.27,0,3,0,1.6564E+12
45:50.0,349.00,5865.1,0,3,0,1.6564E+12
45:51.0,350.00,5888.31,0,3,0,1.6564E+12
45:52.0,351.00,5857.27,0,3,0,1.6564E+12
45:53.0,352.00,5865.1,0,3,0,1.6564E+12
45:54.0,353.00,5857.27,0,3,0,1.6564E+12
45:55.0,354.00,5865.1,0,3,0,1.6564E+12
45:56.0,355.00,5882.91,0,3,0,1.6564E+12
45:57.0,356.00,5888.73,0,3,0,1.6564E+12
45:58.0,357.00,5888.31,0,3,0,1.6564E+12
45:59.0,358.00,5896.64,0,3,0,1.6564E+12
46:00.0,359.00,5896.64,0,3,0,1.6564E+12
46:01.0,360.00,5888.31,0,3,0,1.6564E+12
46:02.0,361.00,5865.1,0,3,0,1.6564E+12
46:03.0,362.00,5888.31,0,3,0,1.6564E+12
46:04.0,363.00,5888.31,0,3,0,1.6564E+12
46:05.0,364.00,5865.1,0,3,0,1.6564E+12
46:06.0,365.00,5882.91,0,3,0,1.6564E+12
46:07.0,366.00,5888.73,0,3,0,1.6564E+12
46:08.0,367.00,5865.1,0,3,0,1.6564E+12
46:09.1,368.00,5888.31,0,3,0,1.6564E+12
46:10.1,369.00,5896.64,0,3,0,1.6564E+12
46:11.1,370.00,5896.64,0,3,0,1.6564E+12
46:12.1,371.00,5888.31,0,3,0,1.6564E+12
46:13.1,372.00,5888.73,0,3,0,1.6564E+12
46:14.1,373.00,5896.64,0,3,0,1.6564E+12
46:15.1,374.00,5896.64,0,3,0,1.6564E+12
46:16.1,375.00,5882.91,0,3,0,1.6564E+12
46:17.1,376.00,5896.23,0,3,0,1.6564E+12
46:18.1,377.00,5888.31,0,3,0,1.6564E+12
46:19.1,378.00,5888.31,0,3,0,1.6564E+12
46:20.1,379.00,5896.64,0,3,0,1.6564E+12
46:21.1,380.00,5888.31,0,3,0,1.6564E+12
46:22.1,381.00,5888.73,0,3,0,1.6564E+12
46:23.1,382.00,5896.64,0,3,0,1.6564E+12
46:24.1,383.00,5920.1,0,3,0,1.6564E+12
46:25.1,384.00,5896.23,0,3,0,1.6564E+12
46:26.1,385.00,5914.64,0,3,0,1.6564E+12
46:27.1,386.00,5888.73,0,3,0,1.6564E+12
46:28.1,387.00,5888.73,0,3,0,1.6564E+12
46:29.1,388.00,5896.64,0,3,0,1.6564E+12
46:30.1,389.00,5896.64,0,3,0,1.6564E+12
46:31.1,390.00,5888.31,0,3,0,1.6564E+12
46:32.1,391.00,5896.64,0,3,0,1.6564E+12
46:33.1,392.00,5920.1,0,3,0,1.6564E+12
46:34.1,393.00,5888.73,0,3,0,1.6564E+12
46:35.1,394.00,5896.64,0,3,0,1.6564E+12
46:36.1,395.00,5914.64,0,3,0,1.6564E+12
46:37.1,396.00,5888.31,0,3,0,1.6564E+12
46:38.1,397.00,5896.64,0,3,0,1.6564E+12
46:39.1,398.00,5888.31,0,3,0,1.6564E+12
46:40.1,399.00,5896.64,0,3,0,1.6564E+12
